text,breakfast_po,breakfast_ne,dinner_po,dinner_ne,bath_po,bath_ne,servis_po,service_ne,state_po,state_ne,facility_po,facility_ne,room_po,room_ne
3月30日宿泊。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
今回は函館観光というよりも、こちらの別邸宿泊が目的だったので、早めにチェックインしてホテルライフを満喫しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
夕食代が浮いた分、娘と二人でボディケアも行い、お陰で夜もぐっすりです。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
別邸レストランが完成したらまた宿泊してみたいと思います！,0,0,0,0,0,0,0,0,0,0,0,0,0,0
また利用させていただきたいです。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
何度か利用しています。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
古稀のお祝い、良いものにできたと思います。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
タワー館に3 ４回泊まりました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
楽天サイトで非常にページが見やすく魅力的だったので決めました！,0,0,0,0,0,0,0,0,0,0,0,0,0,0
家族にオススメしたいホテルです！,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大学入試で利用しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
リラックスできました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
首都高？が目の,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ありがとうございました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
うちの社内じゃ定番ホテル。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高松ならこことみんな利用しています。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
元気でハキハキと、かつ丁寧に話してくれる。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
また名古屋へ来たときは泊まらせていただきます。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
今までいつも往復直行バスは池袋から利用させていただいていましたが、昨年から町田・八王子の路線が始まったということで、今回そちらから乗りました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新潟出張の際はいつも利用しています。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
家族全員大満足！,0,0,0,0,0,0,0,0,0,0,0,0,0,0
何度もリピートしてます。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
本当にありがとう！,0,0,0,0,0,0,0,0,0,0,0,0,0,0
また次回も利用したいと思います。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
今回は近くでゆっくりと、考えて秋保温泉で直前割の瑞鳳さんに決めました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
又、利用させて頂きます。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
女将劇場が有名ということで行きました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
普通かなという印象です。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2回目のリピートです。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
今回は結婚記念で宿泊しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
前回の幻想的な雪景色とは打って変わって見渡す限りの緑。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
清々しい気持ちになれ、非日常を満喫できました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
次回もよろしくお願いします。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
それも嫌みが見えません。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
国内で、この様なホテルには出会った事が無いと言っても過言では有りません。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
友人の中にも三人ばかり同お仕事をされてまして、無銭飲食宿泊を趣味とした、恐ろしいクレーマーの方達を耳にしますが、このホテルには通用しませんよ！,0,0,0,0,0,0,0,0,0,0,0,0,0,0
近ければ、毎月でも行きたいです。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
１２月３１日から１月３日まで３泊しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10月に3泊4日宿泊しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ランドに行く為に宿泊。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
「これで無料は信じられない」と言いたいところだが、宿泊費に入っている気がする。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
展望風呂付客室に宿泊しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西口のホテルには泊まったことがありましたが、東口は初めて泊まりました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
また子供が産まれたら一緒に来たいです。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
また違う季節に利用したいです。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9月22日に泊まりました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
初めて利用させていただきました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
有難う御座いました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
温泉と朝食が楽しみで姫路出張の際には利用させて頂いています。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
」次回再びチャレンジしたいと思います。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
口コミが良く期待していましたが、期待以上に良かったです。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
また、ぜひ利用させていただきます。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
結構ビジネスでの利用客が多かったですね。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もっと私と同じくらいのシニア客がいるかと思ったけど朝食時はほとんど（朝７時半頃）ビジネスマンの方でしたね。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ビジネスマンはパンと朝カレーを食べていました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWにディズニーで遊ぶための宿泊で、2回目の利用でした！,0,0,0,0,0,0,0,0,0,0,0,0,0,0
前回は、別のサイトから予約をしての宿泊でしたが…価格を比較したところラクテントラベルからが最安値でした。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
車でディズニーに行くなら駐車場代も近隣のホテルより低価格で利用できるのでいいと思います。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
でも、ディズニーに行くならまた利用すると思います！,0,0,0,0,0,0,0,0,0,0,0,0,0,0
パートナーホテルの方がスタッフ対応・朝食内容等は良い部分があると感じました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
横浜に急用ができて、急遽の予約でしたが、よいホテルで満足しています。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大変お世話になり、ありがとうございました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5回目リピート宿泊になります。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
また絶対機会を見つけて行きます！,0,0,0,0,0,0,0,0,0,0,0,0,0,0
いつも使用しています。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長年の出張族です。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
浜松では毎回ここリッチモンドホテルと決めています。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
外食したので、食事の評価は朝食のみです。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
この価格でこのサービスであれば、ぜったいリピータは多いと思います。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私もぜひ、高知に来た時にはまた利用させていただきたいと思います。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
でしたが14階だというのに何も見えない。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
湯を沸かしお茶をいただきました。（お茶のスティックあり）,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2泊3日で、1泊目はPARKWING、2泊目はオーシャン・ドリームに部屋を変えて宿泊しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
いつもお世話になってます。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野に行く時は必ず泊めて頂きます。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2月の平日なのにそんなにいっぱいだったのかと思う。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ありがとうございました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
今回で３回目の利用です。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
１泊すると２?３回入ります。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
その他、毎回貸切風呂も予約しています。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
あまり人には言えない話ですが、夕食で飲酒した後も風呂に入りたくなります。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
その際、一人で大浴槽に入ると少し心配ですので、飲酒後は貸切風呂に妻と入ります。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
夕食は、徒歩で５?２０分で沢山良い店があり毎回変えてます。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
リピーターです。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
旅行へ出かけるよりもリラックスできます。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
４０年ぶりの洞爺湖を家族で楽しみました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
これだけはどこに宿泊しても同じです。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
プールからそのままお風呂に水着のまま入浴は勘弁です,0,0,0,0,0,0,0,0,0,0,0,0,0,0
懐に余裕がある時は、また泊まりたいと思います。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
これから年末迄東京から出張で色々なビジネスホテルに泊まる予定でしたが、前日に続いて金曜日迄予約。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
前日は月曜日で朝食付きで5500円と超リーズナブルでしたが、火・水・木と週末に向かうにつれ、『同じ部屋で金額がどんどん高くなる』点が不満。（木曜日は11700円と月曜日２泊分）,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3月9日に宿泊しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TDLに行くため、7月20日から家族で2泊しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
仕事の関係で１週間滞在しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
広島市内であったライブの日に宿泊しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
また、ライブの時には宿泊したいです。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ありがとうございました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
１月の3連休に家族でスキー旅行の為宿泊しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
昨年も宿泊し、気に入ったのでリピートです。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
主人は飲み放題（日本酒は含まない）1 700円をプラスして、サワーなどを何杯も飲んでいました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5月12日13日での一泊でしたが、とてもゆったりと過ごすことができました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
夏に続き、二回目の利用です。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
でも、また、泊まりたいホテルでした。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ユニバに行くときは泊まりが多く、この近辺のホテルによく泊まります。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
帽子を忘れてきてしまったので、次回遊びに行ったときにまた立ち寄らせてもらいます。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もちろん、またお得なプランの時に宿泊もしたいです。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12月25日に宿泊しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
直前でしたが部屋が取れたので泊まりました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4月19日に宿泊しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
お部屋おまかせプランツイン喫煙のお部屋でした。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
チェックイン前に、食事を済ます予定でしたが、ホテルに着いてしまったのでラストオーダーが迫るホテルのレストランへフロントから直行しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
また、機会がありましたら、天気の良い日にうかがいたいと思いました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
やはり安心の大手。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
急な宿泊でしたが、アパなら間違いありませんから、良く知らないホテルでは急な予約は心配ですし。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
マツダスタジアムなどイベントがあると、宿泊料金高くなるのは致したかないですね。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もう少し安いとありがたいです。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
また利用します。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
３泊で利用しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
どれも手をかけて心がこもっている感じがしました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機会があれば、また、伺いたいと思います。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6月11日に宿泊しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
オールインワンパックは、お得でした。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スキー・スノボー初心者にはお勧めのホテルです。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホテルとしてはいいホテルです。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ダブルの部屋を2人で利用しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4歳2歳の子供と4人で利用しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
あいにくの雨で、外で、遊ぶことが出来ず残念ですが、ゆっくり過ごしたいと思います。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
食事はこれからですが、楽しみです！,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5泊６日鹿児島旅行最終日、最終日だけは場所もなど含めて気分で決めようと思っていたので、当日予約で宿泊しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気持ち良い旅をありがとうございました！,0,0,0,0,0,0,0,0,0,0,0,0,0,0
合成なのか、そうでないのであればどの角度からどう撮った写真なのかお聞かせ願いたいです。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
以上感想です。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
海外出張のために前泊でお世話になりました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
また海外出張の際はお世話になります。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
３月２４・２５日で白浜へ行きました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
すごく高級なイメージのホテルなので、こんなに格安で泊まるには、何かあるのかな？と半信半疑で予約しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
でも、部屋に入ってビックリ！！,0,0,0,0,0,0,0,0,0,0,0,0,0,0
やっぱり、お金持ちの方々しか泊まらないホテルなんだなぁと思いました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
地産地消の朝食バイキングに惹かれて予約しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機会があれば、また宿泊したいと思います。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
彼の誕生日に利用させて頂きました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
また来たいと思います。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西播磨地区に出向く時にはいつも拠点として利用しております。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
今後も利用していきたいと思います。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
お泊まりディズニーではこちらにお世話になっています。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
またお世話になりますね。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
今回はOPEN直後に宿泊して以来でした。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8月16日に宿泊しました！,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出来れば入り口から遠いところのほうが嬉しいです。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
また利用します！,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3月6日に家族で宿泊しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
娘と2人での温泉旅行で初めて一井さんを利用しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
いつもはスタンダードにしているのですが、今回は若干広めのお部屋にしてみました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
また是非利用してみたいと思いました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
以前宿泊した時、朝食が美味しく、食べきれなかったので今回また泊まりました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機会があればまた泊まりたい。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
他の従業員の方は全くそんなことはなかったので、教育が行き届いていないのではないかと思います。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
あと、予約の際に記載されていた事項と実際が違いました。★,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三浦海岸ではココだけ！,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ミサキポートエールビールもご一緒にどうぞ♪,0,0,0,0,0,0,0,0,0,0,0,0,0,0
グラス（420ml）780円。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
バイキング会場では飲めません！,0,0,0,0,0,0,0,0,0,0,0,0,0,0
生ものならばわかりますが、フレンチトーストが出ないって？？？,0,0,0,0,0,0,0,0,0,0,0,0,0,0
チェックアウト時にタクシーを呼んでもらおうとしたら３０分以上かかるとのことでした．,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特に予定が詰まっている方は前日にタクシーを予約すると良いでしょう．,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8月29.30日お世話になりました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
子供は初めての海水浴、とても楽しんでいました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
また利用させて頂きますね。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
今回は両親が急遽札幌に来た際に利用させて頂きました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金額もキャンペーンでさらに安くなり、食事もついていたので大変喜んでおりました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
また機会があれば、利用したいと思います。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ありがとうございました！,0,0,0,0,0,0,0,0,0,0,0,0,0,0
温泉と駐車場重視で利用させていただきました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
また利用したいお宿です（^^）,0,0,0,0,0,0,0,0,0,0,0,0,0,0
またお世話になります。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
隠岐諸島への前泊で利用しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
玄関で靴を脱いで上がるのがびっくりしました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
次の旅への楽しいスタートを切る事ができました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
夫婦と４歳の子供１人と、7月22日（日）に宿泊しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
立地は『ビューホテル』というだけあって、住宅街の中を上に上に登っていった所にありました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私たちは3回目の利用になります。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私たちはすっかり滝の湯さんのファンですね！,0,0,0,0,0,0,0,0,0,0,0,0,0,0
また季節を変えて伺いたいなと思います。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
お世話になりました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
誕生日にDisneyランドへ行くことになり、宿泊しました！,0,0,0,0,0,0,0,0,0,0,0,0,0,0
これからDisneyへ行くときは定宿にしたいと思います,0,0,0,0,0,0,0,0,0,0,0,0,0,0
今度から大阪のホテルにはここにしたいと思います。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
コスパは良いと思います。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
到着早々に、熱があり大変辛かったですが。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
おかげで、次の日には、元気になりました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ありがとうございました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0
