text,breakfast_po,breakfast_ne,dinner_po,dinner_ne,bath_po,bath_ne,service_po,service_ne,state_po,state_ne,facility_po,facility_ne,room_po,room_ne
駐車場が無料なのでありがたいのですが、地下駐車場は車高が1.8m以下になるので、1BOXなどの大きな車の方は注意が必要です。,0,0,0,0,0,0,0,0,0,0,1,1,0,0
メインはパン・スープの洋食で、ピラフなど工夫はしていますが、ごはんと味噌汁という人にはちょっとと思うかもしれませんが、無料なので特にこだわりがなければ十分だと思います。,1,1,0,0,0,0,0,0,0,0,0,0,0,0
海外ならチップ奮発するところですが、日本でよかった（笑）朝食はその場でオムレツを焼いてくれたり、うどんがあったりとサービスはよいのですが、ちょっと品数が少ないかな。,1,1,0,0,0,0,0,0,0,0,0,0,0,0
お風呂は、本館のほうが使用できませんでしたが、別館のほうのお風呂で満足でした。,0,0,0,0,1,1,0,0,0,0,0,0,0,0
お食事は全体の品数そのものは以前より減った気もしますがその分きちんと要点は押さえられており、美味しくて充実していてとても満足です。,1,1,1,1,0,0,0,0,0,0,0,0,0,0
朝食の品数が、そこまで多くないですが味と素材が大満足です。,1,1,0,0,0,0,0,0,0,0,0,0,0,0
お料理は釜飯はおいしかったですが瓦そばがでましたが外でお昼に食べた味のほうがおいしかったです。,1,1,1,1,0,0,0,0,0,0,0,0,0,0
ホテルの外観からの想像とは異なり、内装や部屋、トイレやお風呂も奇麗で、和室は広くはなかったですが十分な大きさでした。,0,0,0,0,0,0,1,0,0,0,1,0,1,1
無料シャトルバスはうれしいけど、約３０分かかるから最初から最後まで立って乗るのはきつい。,0,0,0,0,0,0,1,1,0,0,0,0,0,0
期待のハードルを上げ過ぎたのかもしれませんが…総合的にとてもいい旅館だったと思います。,1,1,1,0,1,0,1,0,1,0,1,0,1,0
味は良かったのに残念。,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ただ、朝食付きにしたけれど…内容は種類豊富でしたが好みに合わずだったので素泊まりでも良かったかなぁというのが本音でした。,1,1,0,0,0,0,0,0,0,0,0,0,0,0
あと無料送迎バスは楽しいけど不便でした。,0,0,0,0,0,0,1,1,0,0,0,0,0,0
風呂はよかったがおむつ外れてない子がだめなことはちゃんと記載をしててほしかった。,0,0,0,0,1,1,0,1,0,0,0,0,0,0
立地も分かりやすいですが、行く道が賑やかではないので、夜だと駅からやや遠く感じるかもしれません。,0,0,0,0,0,0,0,0,1,1,0,0,0,0
朝食は、パンはまずくはないですが普通でした。,1,1,0,0,0,0,0,0,0,0,0,0,0,0
