text,breakfast_po,breakfast_ne,dinner_po,dinner_ne,bath_po,bath_ne,service_po,service_ne,state_po,state_ne,facility_po,facility_ne,room_po,room_ne
低層階のシャワーブースのみのお部屋でしたが、広々とした部屋のうえ、ソファーやダイニングテーブル、ミニキッチン、加湿機能付空気清浄機、家庭用冷蔵庫、電子レンジ、ケトルも備え付けており、かなりクオリティ高いですね。,0,0,0,0,0,0,0,0,0,0,1,0,1,0
洗面化粧台の電球が切れていましたが、すぐに対応して頂きました。,0,0,0,0,0,0,1,0,0,0,0,1,0,0
お部屋も広くて、お料理もとても美味しく、部屋の露天風呂からは星がプラネタリウムのように広がっていて、とにかく最高でした。,1,0,1,0,1,0,0,0,0,0,0,0,1,0
部屋も綺麗で、対応もよく、朝食もおいしいのでとても満足しています。,1,0,0,0,0,0,1,0,0,0,0,0,1,0
駐車場が無料なのでありがたいのですが、地下駐車場は車高が1.8m以下になるので、1BOXなどの大きな車の方は注意が必要です。,0,0,0,0,0,0,0,0,0,0,1,1,0,0
一部の方が指摘した通り、廊下がタバコ臭いのが気になりました。,0,0,0,0,0,0,0,1,0,0,0,1,0,0
やはり口コミに間違いなし、とても良いホテルでした＾＾ブッフェはこんなに種類が並んでいるの見たことがなく、大興奮で歩けなくなるほど食べてしまいました！,1,0,1,0,0,0,0,0,0,0,0,0,0,0
また、さりげなくカップルと家族連れを離れた席にしてくださったのも落ち着けて食事できてよかったです。,1,0,1,0,0,0,1,0,0,0,0,0,0,0
創業記念の売店で使えるチケットと湯もみ大変で合わせて２０００円分もお買い物しました＾＾色浴衣も種類があって可愛く、売店の方もいい人でした！,0,0,0,0,0,0,1,0,0,0,1,0,0,0
駅から近く、部屋もとても綺麗で広めで、シャワーの水圧も強く、掃除も行き届いてました。,0,0,0,0,1,0,1,0,1,0,0,0,1,0
コンセントも枕元にもあるし、鏡の前にもあるしで、使いやすい部屋でした。,0,0,0,0,0,0,0,0,0,0,1,0,1,0
メインはパン・スープの洋食で、ピラフなど工夫はしていますが、ごはんと味噌汁という人にはちょっとと思うかもしれませんが、無料なので特にこだわりがなければ十分だと思います。,1,1,0,0,0,0,0,0,0,0,0,0,0,0
無料の食事もおいしかったです。,1,0,1,0,0,0,0,0,0,0,0,0,0,0
